IDADE,FX_ID,SEXO,p1,p2a,p2b,p2c,p3anos,p3meses,t3,p4,p5anos,p5meses,t5,p6,idaa,idab,idac,idad,idae,idaf,idag,idah,idai,idaj,idak,idal,idam,idan,idao,p6a,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,religiao,cor,escola,rendaf,tipo,pa1,pa2,pa45_2a,pa45_2b,pa45_2c,pa45_2d,pa3,pa4,pa5,pa6,pa7,pa8,pa9,pa10,pa11,pa12,pa13,pa14,pa15,pa16,pa17,pa18,pa19,pa20,pa21,pa22,pa23,pa24,pa25,pa26,pa27,pa28,pa29a,pa29b,pa29c,pa29d,pa29e,pa29f,pa29g,pa29h,pa29i,pa29j,pa29k,pa30a,pa30b,pa30c,pa30d,pa30e,pa30f,pa30g,pa30h,pa31a,pa31b,pa31c,pa31d,pa31e,pa31f,pa31g,pa31h,pa31i,pa31j,pa31k,pa31aa,pa31ab,pa31ac,pa31ad,pa31ae,pa32,pa33,pa34,pa35a,pa35b,pa35c,pa35d,pa35e,pa35f,pa35g,pa35h,pa35i,pa36,pa37,pa38a,pa38b,pa39,pa40,pa41,pa42a,pa42b,pa43,pa44,pa45_1,pa46a,pa46b,regiao,metrop,meso,pesoe,nquest
76.0,5.0,1.0,1.0,,,,47.0,,6.0,,,,,3.0,37.0,43.0,43.0,,,,,,,,,,,,,2.0,95.0,,,5.0,1.0,3.0,1.0,5.0,3.0,2.0,6.0,1.0,2.0,2.0,1.0,3.0,2.0,,,,,4.0,2.0,3.0,1.0,1.0,8.0,1.0,5.0,96.0,96.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,,,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,6.0,7.0,8.0,9.0,,,,3.0,3.0,996.0,,1.0,222.0,,,,,,,,,2.0,3.0,4.0,0.858210040629275,1168.0
43.0,3.0,1.0,1.0,,,,15.0,,4.0,,,,,1.0,12.0,,,,,,,,,,,,,,,1.0,95.0,,,3.0,2.0,1.0,1.0,1.0,3.0,2.0,6.0,1.0,5.0,3.0,1.0,4.0,2.0,,,,,2.0,2.0,3.0,1.0,1.0,8.0,2.0,5.0,1.0,96.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,96.0,96.0,96.0,1.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,7.0,8.0,,,,,,2.0,3.0,996.0,,95.0,222.0,,,,,,,,,2.0,3.0,4.0,1.003074640909091,1169.0
45.0,4.0,1.0,1.0,,,,4.0,,2.0,,,,,1.0,5.0,,,,,,,,,,,,,,,1.0,2.0,,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,4.0,,,,,2.0,1.0,1.0,1.0,1.0,8.0,2.0,97.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,96.0,96.0,96.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,97.0,,,,,,,,,3.0,2.0,996.0,,1.0,222.0,,,,,,,,,2.0,3.0,4.0,0.9651367368860058,1170.0
25.0,2.0,2.0,1.0,,,,3.0,,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,,1.0,95.0,,,3.0,2.0,2.0,1.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,1.0,1.0,2.0,,,,,3.0,2.0,97.0,1.0,1.0,9.0,2.0,97.0,97.0,97.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,96.0,96.0,96.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97.0,97.0,1.0,97.0,97.0,97.0,97.0,97.0,2.0,2.0,2.0,2.0,2.0,97.0,,,,97.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,2.0,996.0,,,,,,,97.0,997.0,,,,2.0,3.0,4.0,1.143011216496756,1171.0
21.0,1.0,2.0,1.0,,,,4.0,,2.0,,,,,96.0,,,,,,,,,,,,,,,,,95.0,,,5.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,5.0,4.0,1.0,1.0,2.0,,,,,2.0,1.0,4.0,1.0,1.0,10.0,2.0,1.0,96.0,96.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,96.0,96.0,96.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,,,,,,,,,3.0,2.0,996.0,,,,,,,1.0,222.0,,,,2.0,3.0,4.0,1.0312080654135336,1172.0
51.0,4.0,2.0,1.0,,,,4.0,,2.0,,,,,3.0,28.0,30.0,36.0,,,,,,,,,,,,,1.0,2.0,,,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,,,,,2.0,3.0,1.0,1.0,1.0,8.0,2.0,3.0,1.0,97.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,96.0,96.0,96.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,97.0,1.0,97.0,97.0,97.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,3.0,996.0,,,,,,,1.0,222.0,,,,2.0,3.0,4.0,0.9831017308520179,1173.0
67.0,5.0,2.0,3.0,5.0,,,,,,2.0,,,,4.0,39.0,44.0,42.0,40.0,,,,,,,,,,,,1.0,,1.0,,3.0,2.0,2.0,1.0,97.0,97.0,1.0,6.0,3.0,2.0,1.0,1.0,3.0,2.0,,,,,4.0,3.0,4.0,2.0,96.0,97.0,96.0,1.0,96.0,96.0,6.0,97.0,97.0,3.0,2.0,2.0,97.0,2.0,2.0,5.0,2.0,3.0,96.0,96.0,96.0,1.0,4.0,4.0,3.0,4.0,4.0,97.0,4.0,97.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,97.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,2.0,2.0,1.0,2.0,97.0,1.0,2.0,2.0,3.0,2.0,1.0,8.0,,,,,,,,97.0,99.0,996.0,,,,,,,96.0,222.0,,,,2.0,3.0,4.0,1.35495479592089,1174.0
35.0,3.0,2.0,1.0,,,,12.0,,4.0,,,,,1.0,11.0,,,,,,,,,,,,,,,1.0,95.0,,,3.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,5.0,2.0,1.0,4.0,1.0,,,,,4.0,2.0,4.0,1.0,1.0,10.0,2.0,1.0,97.0,96.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,5.0,2.0,2.0,96.0,96.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97.0,1.0,97.0,97.0,97.0,97.0,97.0,97.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,97.0,97.0,1.0,1.0,97.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,1.0,996.0,,,,,,,1.0,222.0,,,,2.0,3.0,4.0,1.0855809491012298,1175.0
20.0,1.0,2.0,2.0,2.0,,,,,,1.0,2.0,7.0,4.0,96.0,,,,,,,,,,,,,,,,,,,96.0,2.0,2.0,1.0,2.0,,,2.0,6.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,96.0,96.0,,1.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,8.0,,,,,,,,,3.0,,,,,,,,,,,,,2.0,3.0,4.0,1.0312080654135336,1176.0
35.0,3.0,2.0,2.0,5.0,,,,,,1.0,,1.0,1.0,3.0,1.0,12.0,18.0,,,,,,,,,,,,,1.0,,,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,6.0,3.0,5.0,1.0,1.0,3.0,2.0,,,,,2.0,4.0,1.0,1.0,1.0,8.0,2.0,3.0,2.0,96.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,96.0,96.0,96.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,7.0,,,,,,,,2.0,99.0,996.0,,,,,,,2.0,222.0,,,,2.0,3.0,4.0,1.0855809491012298,1177.0
53.0,4.0,2.0,3.0,1.0,,,,,,2.0,,,,4.0,22.0,28.0,26.0,38.0,36.0,34.0,30.0,40.0,,,,,,,,2.0,,1.0,,5.0,1.0,2.0,1.0,3.0,97.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,,,,,2.0,2.0,4.0,2.0,96.0,96.0,96.0,1.0,96.0,96.0,6.0,3.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,7.0,,,,,,2.0,2.0,996.0,,,,,,,96.0,222.0,,,,2.0,3.0,4.0,0.9831017308520179,1178.0
68.0,5.0,2.0,3.0,5.0,,,,,,2.0,,,,2.0,35.0,39.0,,,,,,,,,,,,,,1.0,,1.0,,5.0,2.0,2.0,1.0,99.0,97.0,1.0,6.0,1.0,2.0,1.0,1.0,4.0,1.0,,,,,5.0,1.0,4.0,2.0,96.0,96.0,96.0,1.0,96.0,96.0,6.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,96.0,96.0,96.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,97.0,1.0,2.0,1.0,,,,,,,,,3.0,1.0,996.0,,,,,,,96.0,222.0,,,,2.0,3.0,4.0,1.35495479592089,1179.0
27.0,2.0,2.0,2.0,1.0,,,,,,2.0,,,,96.0,,,,,,,,,,,,,,,,,,,1.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,6.0,2.0,1.0,2.0,1.0,,,,,4.0,3.0,2.0,1.0,96.0,96.0,2.0,4.0,1.0,96.0,6.0,97.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,96.0,96.0,96.0,1.0,1.0,3.0,4.0,1.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,97.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,,1.0,2.0,8.0,,,,,,,3.0,97.0,996.0,,,,,,,97.0,997.0,,,,2.0,3.0,4.0,1.143011216496756,1180.0
67.0,5.0,1.0,3.0,1.0,,,,,,2.0,,,,3.0,40.0,42.0,44.0,,,,,,,,,,,,,2.0,,1.0,,5.0,2.0,3.0,1.0,5.0,3.0,1.0,6.0,3.0,1.0,1.0,1.0,4.0,2.0,,,,,3.0,2.0,1.0,1.0,96.0,96.0,96.0,3.0,96.0,96.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,96.0,96.0,96.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,,3.0,2.0,996.0,,1.0,222.0,,,,,,,,,2.0,3.0,3.0,0.858210040629275,1181.0
34.0,2.0,1.0,1.0,,,,5.0,,2.0,,,,,2.0,4.0,13.0,,,,,,,,,,,,,,1.0,95.0,,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,2.0,1.0,2.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,96.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,2.0,99.0,996.0,,1.0,222.0,,,,,,,,,2.0,3.0,3.0,1.0819133287634408,1182.0
48.0,4.0,1.0,1.0,,,,25.0,,5.0,,,,,3.0,21.0,23.0,25.0,,,,,,,,,,,,,1.0,95.0,,,3.0,5.0,3.0,1.0,2.0,3.0,2.0,6.0,3.0,2.0,1.0,1.0,3.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,7.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,96.0,96.0,96.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,,,,,,,,3.0,2.0,996.0,,95.0,222.0,,,,,,,,,2.0,3.0,3.0,0.9651367368860058,1183.0
41.0,3.0,1.0,4.0,2.0,,,,,,2.0,,,,1.0,18.0,,,,,,,,,,,,,,,2.0,,1.0,,2.0,3.0,1.0,1.0,2.0,2.0,2.0,6.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,9.0,2.0,99.0,1.0,96.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,96.0,96.0,96.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,97.0,,,,,,,,,3.0,2.0,996.0,,1.0,222.0,,,,,,,,,2.0,3.0,3.0,1.003074640909091,1184.0
18.0,1.0,1.0,2.0,2.0,,,,,,2.0,,,,96.0,,,,,,,,,,,,,,,,,,,96.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,4.0,1.0,1.0,3.0,1.0,,,,,3.0,3.0,2.0,3.0,96.0,96.0,96.0,1.0,96.0,96.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,5.0,2.0,2.0,96.0,96.0,96.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,,,,,,,,,3.0,2.0,996.0,,1.0,222.0,,,,,,,,,2.0,3.0,3.0,0.9941823936927774,1185.0
24.0,1.0,1.0,2.0,1.0,,,,,,1.0,,9.0,2.0,96.0,,,,,,,,,,,,,,,,,,,96.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,6.0,3.0,1.0,2.0,2.0,,,,,2.0,2.0,2.0,3.0,1.0,10.0,2.0,5.0,3.0,96.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,96.0,96.0,96.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,,,,,,,,,3.0,2.0,996.0,,2.0,222.0,,,,,,,,,2.0,3.0,3.0,0.9941823936927774,1186.0
69.0,5.0,1.0,1.0,,,,48.0,,6.0,,,,,4.0,41.0,43.0,44.0,46.0,,,,,,,,,,,,2.0,95.0,,,5.0,3.0,3.0,1.0,5.0,3.0,99.0,6.0,1.0,2.0,1.0,1.0,4.0,2.0,,,,,4.0,5.0,3.0,1.0,96.0,96.0,96.0,2.0,96.0,96.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,97.0,,,,,,,,,3.0,2.0,996.0,,1.0,222.0,,,,,,,,,2.0,3.0,3.0,0.858210040629275,1187.0
43.0,3.0,1.0,1.0,,,,16.0,,5.0,,,,,2.0,11.0,13.0,,,,,,,,,,,,,,1.0,95.0,,,1.0,1.0,3.0,1.0,1.0,3.0,2.0,6.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,,4.0,1.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,97.0,,,,,,,,,3.0,2.0,996.0,,1.0,222.0,,,,,,,,,2.0,3.0,3.0,1.003074640909091,1188.0
31.0,2.0,1.0,1.0,,,,7.0,,3.0,,,,,1.0,3.0,,,,,,,,,,,,,,,1.0,95.0,,,5.0,99.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,,,,,3.0,4.0,1.0,1.0,1.0,7.0,2.0,4.0,1.0,96.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,,3.0,1.0,996.0,,1.0,222.0,,,,,,,,,2.0,3.0,3.0,1.0819133287634408,1190.0
48.0,4.0,2.0,1.0,,,,,9.0,1.0,,,,,3.0,29.0,27.0,20.0,,,,,,,,,,,,,1.0,2.0,,,3.0,99.0,1.0,1.0,1.0,3.0,99.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,8.0,2.0,3.0,1.0,96.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,7.0,8.0,9.0,,,,,2.0,99.0,996.0,,,,,,,95.0,222.0,,,,2.0,3.0,3.0,0.9831017308520179,1191.0
25.0,2.0,2.0,1.0,,,,3.0,,1.0,,,,,2.0,9.0,2.0,,,,,,,,,,,,,,1.0,2.0,,,3.0,1.0,1.0,1.0,3.0,3.0,2.0,6.0,3.0,4.0,1.0,1.0,4.0,1.0,,,,,2.0,3.0,4.0,1.0,1.0,9.0,2.0,4.0,96.0,96.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,97.0,97.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,8.0,,,,,,,2.0,2.0,996.0,,,,,,,1.0,222.0,,,,2.0,3.0,3.0,1.143011216496756,1192.0
18.0,1.0,2.0,2.0,2.0,,,,,,1.0,,6.0,1.0,96.0,,,,,,,,,,,,,,,,,,,96.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,5.0,3.0,1.0,2.0,1.0,,,,,2.0,2.0,1.0,3.0,1.0,10.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,4.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,3.0,7.0,,,,,,,3.0,3.0,996.0,,,,,,,1.0,222.0,,,,2.0,3.0,3.0,1.0312080654135336,1193.0
44.0,3.0,2.0,1.0,,,,21.0,,5.0,,,,,2.0,21.0,16.0,,,,,,,,,,,,,,1.0,95.0,,,3.0,99.0,3.0,1.0,2.0,3.0,99.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,4.0,2.0,4.0,2.0,1.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,8.0,,,,,,,3.0,99.0,996.0,,,,,,,1.0,222.0,,,,2.0,3.0,3.0,1.0855809491012298,1194.0
35.0,3.0,2.0,1.0,,,,20.0,,5.0,,,,,2.0,20.0,14.0,,,,,,,,,,,,,,1.0,95.0,,,3.0,2.0,1.0,1.0,2.0,3.0,2.0,6.0,3.0,2.0,2.0,1.0,4.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,10.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,4.0,96.0,96.0,96.0,1.0,97.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,97.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,,,,,,,,3.0,99.0,996.0,,,,,,,1.0,222.0,,,,2.0,3.0,3.0,1.0855809491012298,1196.0
23.0,1.0,2.0,1.0,,,,4.0,5.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,95.0,,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,4.0,2.0,1.0,1.0,3.0,,,,,3.0,3.0,1.0,1.0,1.0,9.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,96.0,1.0,96.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,8.0,9.0,,,,,,,2.0,2.0,97.0,,,,,,,1.0,0.5,97.0,97.0,,2.0,3.0,3.0,1.0312080654135336,1197.0
34.0,2.0,2.0,4.0,5.0,,,,,,2.0,,,,1.0,15.0,,,,,,,,,,,,,,,1.0,,1.0,,5.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,,3.0,2.0,4.0,1.0,96.0,96.0,96.0,1.0,96.0,96.0,6.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,8.0,,,,,,,,1.0,99.0,996.0,,,,,,,96.0,222.0,,,,2.0,3.0,3.0,1.143011216496756,1198.0
55.0,4.0,2.0,3.0,5.0,,,,,,2.0,,,,4.0,35.0,16.0,25.0,28.0,,,,,,,,,,,,1.0,,1.0,,5.0,2.0,1.0,1.0,5.0,3.0,99.0,6.0,3.0,2.0,1.0,1.0,3.0,3.0,,,,,2.0,1.0,4.0,1.0,96.0,96.0,96.0,1.0,96.0,96.0,6.0,3.0,97.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,7.0,,,,,,,1.0,99.0,996.0,,,,,,,96.0,222.0,,,,2.0,3.0,3.0,0.9831017308520179,1199.0
