IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4,P5,P6,P7_1,P7_2,P8,P9,P10A,P10B,P10C,P10D,P10E,P10F,P10G,P10H,P10I,P10J,P10K,P10L,P10M,P11_1,P11_2,P11_3,P12,P13,P14,P15,P16,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P17_98,P18,P19,P20_1,P20_2,P20_3,P20_4,P20_5,P20_6,P20_7,P20_8,P20_9,P20_10,P20_11,P20_12,P20_13,P20_97,P20_99,P21A,P21B,P22_1,P22_2,P22_3,P22_4,P22_5,P22_6,P22_7,P22_8,P22_9,P22_10,P22_11,P22_12,P22_13,P22_14,P22_15,P22_99,P23_1,P23_2,P23_3,P23_4,P23_5,P23_6,P23_7,P23_8,P23_9,P23_10,P23_11,P23_12,P23_13,P23_14,P23_15,P23_16,P23_17,P23_99,RACA_COR,RELIGIAO,REND1,REND2,REGIAO_SP,TIPO_COLETA,AMOSTRA,FATOR_POND,ID,Nquest
30.0,2.0,2.0,16.0,1.0,3.0,7.0,4.0,2.0,1.0,8.0,9.0,3.0,1.0,7.0,7.0,1.0,99.0,99.0,1.0,99.0,1.0,1.0,99.0,1.0,1.0,1.0,99.0,1.0,99.0,,,3.0,3.0,2.0,4.0,2.0,,,,,,,99.0,1.0,2.0,,,,,,,,,,,,,,97.0,,3.0,3.0,,,,,,6.0,,,9.0,,11.0,12.0,13.0,,,,,,,,,,,,9.0,,11.0,,,14.0,,,,,1.0,18.0,4.0,2.0,1.0,4.0,2.0,0.20253871693551187,4840458.0,300.0
45.0,4.0,1.0,14.0,2.0,4.0,3.0,4.0,3.0,1.0,99.0,5.0,11.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,97.0,,,4.0,5.0,2.0,5.0,3.0,,,,,,,99.0,2.0,3.0,,,,,,,,,,,,,,97.0,,4.0,5.0,,,,,,,,8.0,9.0,10.0,11.0,12.0,,14.0,,,,,,,,,,,9.0,,11.0,,,,15.0,,,,1.0,19.0,5.0,4.0,2.0,4.0,2.0,0.6550511271125926,4841203.0,400.0
41.0,3.0,1.0,16.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,4.0,9.0,8.0,10.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,99.0,99.0,1.0,99.0,13.0,1.0,,5.0,5.0,1.0,5.0,3.0,,,,,,,99.0,2.0,3.0,,,,,,,,,,,,,,97.0,,5.0,5.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,1.0,1.0,3.0,3.0,5.0,4.0,2.0,2.075790120271287,4841233.0,405.0
68.0,5.0,1.0,8.0,1.0,2.0,5.0,2.0,2.0,2.0,4.0,9.0,9.0,14.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,97.0,,,4.0,5.0,3.0,5.0,4.0,,,,,,,99.0,1.0,3.0,,,,,,,,,,,,,,97.0,,3.0,5.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,3.0,99.0,4.0,3.0,4.0,4.0,2.0,2.2397071509200672,4841259.0,407.0
40.0,3.0,2.0,14.0,1.0,4.0,7.0,3.0,1.0,2.0,13.0,9.0,6.0,1.0,10.0,7.0,1.0,99.0,99.0,99.0,99.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,97.0,,,3.0,3.0,3.0,4.0,2.0,,,,,,,99.0,1.0,3.0,,,,,,,,,,,,,,97.0,,5.0,5.0,,,,,,,,,9.0,10.0,,,,14.0,,,,,,,,,,,9.0,,11.0,,,,15.0,,17.0,,1.0,15.0,5.0,4.0,3.0,4.0,2.0,1.0326587679594081,4841833.0,442.0
46.0,4.0,1.0,14.0,1.0,4.0,5.0,4.0,2.0,1.0,2.0,6.0,3.0,11.0,5.0,8.0,2.0,99.0,99.0,1.0,99.0,1.0,99.0,2.0,1.0,99.0,1.0,1.0,99.0,16.0,,,3.0,99.0,2.0,4.0,4.0,,,,,,,99.0,1.0,3.0,,,,,,,,,,,,,,97.0,,5.0,5.0,1.0,2.0,,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,,1.0,,,4.0,5.0,6.0,7.0,8.0,,,11.0,12.0,13.0,14.0,15.0,16.0,17.0,,1.0,16.0,4.0,4.0,4.0,4.0,2.0,3.856310523439855,4842307.0,502.0
71.0,5.0,1.0,8.0,2.0,4.0,9.0,3.0,2.0,2.0,10.0,4.0,4.0,16.0,9.0,9.0,2.0,2.0,99.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,,3.0,3.0,2.0,5.0,5.0,,,,,,,99.0,2.0,3.0,,,,,,,,,,,,,,97.0,,3.0,3.0,,,,,,,7.0,,,,,,,14.0,15.0,,,,,,,,7.0,,9.0,,,,13.0,,15.0,,,,3.0,1.0,4.0,4.0,2.0,4.0,2.0,0.645982761247696,4843700.0,566.0
60.0,5.0,1.0,15.0,2.0,3.0,5.0,5.0,1.0,1.0,99.0,99.0,99.0,,1.0,9.0,2.0,99.0,99.0,1.0,99.0,1.0,99.0,99.0,99.0,1.0,1.0,1.0,1.0,1.0,17.0,,4.0,99.0,3.0,99.0,3.0,,,,,,,99.0,1.0,3.0,,,,,,,,,,,,,,97.0,,2.0,2.0,,2.0,,4.0,5.0,6.0,7.0,,9.0,,,12.0,13.0,,,,,2.0,,4.0,5.0,6.0,7.0,,9.0,10.0,,,,14.0,,,,,1.0,15.0,3.0,3.0,4.0,4.0,2.0,0.07639796031636653,4843793.0,573.0
69.0,5.0,1.0,16.0,1.0,1.0,8.0,3.0,1.0,1.0,11.0,9.0,2.0,6.0,8.0,9.0,1.0,1.0,1.0,99.0,1.0,1.0,99.0,1.0,1.0,99.0,1.0,1.0,99.0,3.0,2.0,7.0,2.0,2.0,1.0,2.0,2.0,,,,,,,99.0,2.0,3.0,,,,,,,,,,,,,,97.0,,4.0,3.0,,,,,,,,8.0,9.0,10.0,,,,14.0,,,,,,,,,,,9.0,10.0,,,,,,,17.0,,1.0,1.0,4.0,3.0,5.0,4.0,2.0,0.4917499247471254,4844018.0,590.0
55.0,5.0,2.0,16.0,1.0,3.0,10.0,3.0,1.0,2.0,1.0,9.0,1.0,15.0,10.0,10.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,18.0,2.0,10.0,2.0,2.0,2.0,99.0,2.0,,,,,,,99.0,1.0,2.0,,,,,,,,,,,,,,97.0,,3.0,3.0,1.0,2.0,,4.0,,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,,1.0,2.0,,4.0,,6.0,7.0,8.0,9.0,,,12.0,13.0,,15.0,,,,1.0,1.0,5.0,5.0,2.0,4.0,2.0,1.916657398242041,4847345.0,675.0
