import_relig_inv;import_relig_inv_z;wave;year
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
2.0;-1.5711129294122164;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
1.0;-2.7183157172951407;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
3.0;-0.42391014152929196;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
4.0;0.7232926463536323;wave-2-1991-br;1991
